,Project ID,Project Name,Voluntary Registry,ARB/WAProject,Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Total Credits Issued,Estimated Annual Emission Reductions,Registry / ARB / WA,CCB / Certifications,Project Type From the Registry,K_cluster,DB_cluster
0,ACR101,AFOVERT Energy,ACR,No,Canceled,Household & Community,Bundled Energy Efficiency,Reduction,AMS-I.E.: Switch from non-renewable biomass for thermal applications by the user,Sub-Saharan Africa,0.0,0.0,ACR,06: Clean Water and Sanitation;07: Affordable and Clean Energy;13: Climate Action;15: Life on Land,Fuel Switching,12,-1
1,ACR102,Air Bag Gas Substitution,ACR,No,Completed,Chemical Processes,SF6 Replacement,Reduction,Emission reductions through industrial gas substitution,North America,7984006.0,0.0,ACR,,Industrial Gas Substitution,12,-1
2,ACR103,Inland Empire Anaerobic Ag Digester,ACR,No,Completed,Agriculture,Manure Methane Digester,Reduction,Anaerobic Digestion,North America,44202.0,0.0,ACR,,Livestock Waste Management,12,-1
3,ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",ACR,No,Inactive,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001 Afforestation and Reforestation of Degraded Land,Sub-Saharan Africa,0.0,0.0,ACR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,12,-1
4,ACR105,Boa Vista A/R,ACR,No,Canceled,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001 Afforestation and Reforestation of Degraded Land,Latin America and the Caribbean,2572210.0,0.0,ACR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,12,-1
5,ACR106,Brickyard LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,138492.0,0.0,ACR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Landfill Gas Capture & Combustion,12,-1
6,ACR107,Camargo Fuel Substitution,ACR,No,Completed,Industrial & Commercial,Fuel Switching,Reduction,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Latin America and the Caribbean,1138.0,0.0,ACR,,Fuel Switching,12,-1
7,ACR108,San Juan National Forest Carbon Demonstration Project,ACR,No,Canceled,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001 Afforestation and Reforestation of Degraded Land,North America,0.0,0.0,ACR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,12,-1
8,ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,No,Completed,Industrial & Commercial,Pneumatic Retrofit,Reduction,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,North America,541804.0,0.0,ACR,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",Industrial Process Emissions,12,-1
9,ACR110,Chicago LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,62262.0,0.0,ACR,,Landfill Gas Capture & Combustion,12,-1
10,ACR111,Devon Mizer Pneumatic Retrofit,ACR,No,Completed,Industrial & Commercial,Pneumatic Retrofit,Reduction,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,North America,5724.0,0.0,ACR,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",Industrial Process Emissions,12,-1
11,ACR112,Dolton LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,159336.0,0.0,ACR,,Landfill Gas Capture & Combustion,12,-1
12,ACR113,Greater New Bedford LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,713162.0,0.0,ACR,,Landfill Gas Capture & Combustion,12,-1
13,ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),ACR,No,Registered,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,Afforestation and Reforestation of Degraded Lands,North America,5102746.0,0.0,ACR,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land",Forest Carbon,12,-1
14,ACR115,Lower Mississippi Valley Reforestation,ACR,No,Registered,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001 Afforestation and Reforestation of Degraded Land,North America,13422.0,0.0,ACR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,12,-1
15,ACR116,Societe VERAMA Madagascar Afforestation Project,ACR,No,Inactive,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001 Afforestation and Reforestation of Degraded Land,Sub-Saharan Africa,0.0,0.0,ACR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,12,-1
16,ACR117,Merit Energy Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,7308664.0,0.0,ACR,,Carbon Capture & Storage (CCS),12,-1
17,ACR118,Monell Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,1748409.0,0.0,ACR,,Carbon Capture & Storage (CCS),12,-1
18,ACR119,North Country LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,1592397.0,0.0,ACR,,Landfill Gas Capture & Combustion,12,-1
19,ACR120,Petrosource Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,2181419.0,0.0,ACR,,Carbon Capture & Storage (CCS),12,-1
