project_id,project_name,voluntary_registry,voluntary_status,reduction_removal,project_type_from_the_registry,region,country,state,project_site_location,project_developer,arborwaproject,arb_project_type,version_string,arb_harmonized_methodology,car_harmonized_methodology,methodology_protocol,harmonized_methodology_protocol,fully_harmonized_methodology_protocol,rule_based_type_mapping_list,rule_based_type_mapping_first,vrod_v11_type
ACR586,18 Reserves Forest Carbon Project,ACR,Registered,,Forest Carbon,,US,OHIO,Near Cleveland,The Climate Trust,No,,,,,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,"[(81, 'Improved Forest Management')]",Improved Forest Management,Improved Forest Management
ACR206,2014-P4,ACR,,,Ozone Depleting Substances,,US,ARKANSAS,El Dorado,EOS Climate Inc,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR203,2014-P5,ACR,,,Ozone Depleting Substances,,US,ARKANSAS,El Dorado,EOS Climate Inc,No,,,,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR521,A-Gas 1-2020,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR522,A-Gas 2-2020,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR902,A-Gas 2-2023,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects (ODS),ECY Compliance Offset Protocol: Ozone Depleting Substances Projects (ODS),[],,Ozone Depleting Substances Recovery & Destruction
ACR443,A-Gas 2019-3,ACR,,,Ozone Depleting Substances,,US,OHIO,"Wood County, Bowling Green, Ohio",A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR444,A-Gas 2019-4,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR473,A-Gas 2019-5,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR474,A-Gas 2019-6,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
