unnamed:_0,project_id,project_name,voluntary_registry,arb_wa_project,voluntary_status,project_type,type_rule,methodology,region,country,project_developer,estimated_annual_emission_reductions,project_type_from_the_registry,registry_documents,added_to_database_version
1,ACR102,Air Bag Gas Substitution,ACR,No,Completed,SF6 Replacement,SF6 Replacement,Emission reductions through industrial gas substitution,North America,United States,Nike,,Industrial Gas Substitution,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=102,v 1  12-2020
8,ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,No,Completed,Pneumatic Retrofit,Pneumatic Retrofit,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,North America,United States,Chesapeake Energy,,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=109,v 1  12-2020
10,ACR111,Devon Mizer Pneumatic Retrofit,ACR,No,Completed,Pneumatic Retrofit,Pneumatic Retrofit,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,North America,United States,Devon Energy Group,,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=111,v 1  12-2020
16,ACR117,Merit Energy Geo-Seq,ACR,No,Completed,Carbon Capture & Enhanced Oil Recovery,,Emission Reductions from Enhanced Oil Recovery,North America,United States,Blue Source,,Carbon Capture & Storage (CCS),https://acr2.apx.com/mymodule/reg/prjView.asp?id1=117,v 1  12-2020
17,ACR118,Monell Geo-Seq,ACR,No,Completed,Carbon Capture & Enhanced Oil Recovery,,Emission Reductions from Enhanced Oil Recovery,North America,United States,Anadarko,,Carbon Capture & Storage (CCS),https://acr2.apx.com/mymodule/reg/prjView.asp?id1=118,v 1  12-2020
19,ACR120,Petrosource Geo-Seq,ACR,No,Completed,Carbon Capture & Enhanced Oil Recovery,,Emission Reductions from Enhanced Oil Recovery,North America,United States,Blue Source,,Carbon Capture & Storage (CCS),https://acr2.apx.com/mymodule/reg/prjView.asp?id1=120,v 1  12-2020
20,ACR121,Pike's Peak Geo-Seq,ACR,No,Completed,Carbon Capture & Enhanced Oil Recovery,,Emission Reductions from Enhanced Oil Recovery,North America,United States,Blue Source,,Carbon Capture & Storage (CCS),https://acr2.apx.com/mymodule/reg/prjView.asp?id1=121,v 1  12-2020
22,ACR123,Salt Creek Geo-Seq,ACR,No,Completed,Carbon Capture & Enhanced Oil Recovery,,Emission Reductions from Enhanced Oil Recovery,North America,United States,Anadarko,,Carbon Capture & Storage (CCS),https://acr2.apx.com/mymodule/reg/prjView.asp?id1=123,v 1  12-2020
65,ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,ACR,No,Completed,N2O Destruction in Adipic Acid Production,,Nitrous Oxide Abatement Protocol,North America,United States,DuPont,,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=167,v 1  12-2020
116,ACR223,Transformer Oil Reclamation Project,ACR,No,Completed,Oil Recycling,Oil Recycling,ACR methodology for Reduction in Emissions from the Recycling of Transformer Oil,North America,United States,253,,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=223,v 1  12-2020
154,ACR261,Replacement of SF6 as a Cover Gas at US Magnesium,ACR,No,Completed,SF6 Replacement,SF6 Replacement,AM0065 Replacement of SF6 with alternate cover gas in the magnesium industry,North America,United States,"US Magnesium, LLC",,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=261,v 1  12-2020
246,ACR382,Re-Refining of Used Transformer Oil,ACR,No,Registered,Oil Recycling,Oil Recycling,ACR methodology for Reduction in Emissions from the Recycling of Transformer Oil,North America,United States,"Environmental Management of KC, LLC",,Industrial Process Emissions,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=382,v 1  12-2020
318,ACR460,Compost Additions to Solano County Rangelands,ACR,No,Canceled,Compost Addition to Rangeland,Compost Addition to Rangeland,Emission Reductions from Compost Additions to Grazed Grasslands,North America,United States,"3Degrees Group, Inc.",,Agricultural Land Management,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=460,v 1  12-2020
1400,CAR1480,Phlogiston Phase I,CAR,No,Registered,N2O Destruction in Adipic Acid Production,,CAR U.S Adipic Acid Production Protocol,North America,United States,Ascend Performance Materials Operations LLC,,Adipic Acid,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1480,v 2  05-2021
1639,CAR1910,Zeolite Used for Cement Replacement,CAR,No,Listed,Lower Carbon Cement & Concrete,Lower Carbon Cement & Concrete,CAR U.S. Low-Carbon Cement,North America,United States,"Zeolite Composites, LLC",,Low Carbon Cement,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1910,V11  3-2024
1641,CAR1948,Kirkland Natural Pozzolan SCM Project,CAR,No,Listed,Lower Carbon Cement & Concrete,Lower Carbon Cement & Concrete,CAR U.S. Low-Carbon Cement,North America,United States,Eco Material Technologies Inc,,Low Carbon Cement,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1948,V11  3-2024
2336,GS2488,Yixin Gonghe 10MWp Solar PV Project,GS,No,Gold Standard Certified Project,Solar - centralized,Solar - Centralized,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,China,Climate Bridge (Shanghai) Ltd.,14680.0,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS2488,v 1  12-2020
2364,GS2534,Shuangliao Solar PV Power Generation Project,GS,No,Gold Standard Certified Project,Solar - centralized,Solar - Centralized,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,China,Climate Bridge (Shanghai) Ltd.,12897.0,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS2534,v 1  12-2020
2365,GS2535,Tailai Tangchi Solar PV Power Generation Project,GS,No,Gold Standard Certified Project,Solar - centralized,Solar - Centralized,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,China,Climate Bridge (Shanghai) Ltd.,11706.0,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS2535,v 1  12-2020
3138,GS6830,Solar Water Pumps for salt farmers of Kutch,GS,No,Gold Standard Certified Project,Improved irrigation management,,AMS-I.B. Mechanical energy for the user with or without electrical energy,Southern Asia,India,Value Network Venture Advisory Services Pte. Ltd.,4322.0,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS6830,v 1  12-2020
4709,GS12234,Kardianuts Biochar Production in Colombia,GS,No,Listed,Biochar,,Not provided,Latin America and the Caribbean,Colombia,First Climate (Switzerland) AG,369.0,Other,https://registry.goldstandard.org/projects?q=GS12234,v 9  11-2023
5380,VCS439,Yingpeng HFC23 Decompostion Project,VCS,No,Registered,HFC23 Destruction,HFC23 Destruction,AM0001 Decomposition of fluoroform (HFC-23) waste streams,Eastern Asia,China,"Yingpeng Chemical Co., Ltd.",7865277.0,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,https://registry.verra.org/app/projectDetail/VCS/439,v 1  12-2020
5381,VCS440,Infra-Red Automatic Refrigerant Leak Detection Efficiency Project,VCS,No,Verification approval requested,Refrigerant Leak Detection,Refrigerant Leak Detection,VM0001 Infrared Automatic Refrigerant Leak Detection Efficiency Project Methodology,North America,United States,Multiple Proponents,23000.0,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,https://registry.verra.org/app/projectDetail/VCS/440,v 1  12-2020
5421,VCS480,"Reduction in GHGs emission from primary aluminium smelter at Hindalco, Hirakud India",VCS,No,Late to verify,Aluminum Smelters Emission Reductions,Aluminum Smelters Emission Reductions,AM0059 Reduction in GHGs emission from primary aluminium smelters,Southern Asia,India,HINDALCO INDUSTRIES LIMITED,127319.0,Metal production,https://registry.verra.org/app/projectDetail/VCS/480,v 1  12-2020
5510,VCS569,Honeywell HFC-23 Destruction Project,VCS,No,Registered,HFC23 Destruction,HFC23 Destruction,AM0001 Decomposition of fluoroform (HFC-23) waste streams,North America,United States,Honeywell International Inc.,2469486.0,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,https://registry.verra.org/app/projectDetail/VCS/569,v 1  12-2020
5559,VCS618,"Conversion of SF6 To An Alternative Cover Gas In Magnesium Production In Eaton Rapids, MI and Strathroy, ON",VCS,No,Registered,SF6 Replacement,SF6 Replacement,AM0065 Replacement of SF6 with alternate cover gas in the magnesium industry,North America,United States,Magnesium Products of America (also denoted as Meridian Magnesium Products of America or MPA),196000.0,Manufacturing industries,https://registry.verra.org/app/projectDetail/VCS/618,v 1  12-2020
6389,VCS1454,Electric Frontier Expansion Program Phase III – PAFE III,VCS,No,Registered,Grid Expansion & Mini-Grids,,AMS-III.BB. Electrification of communities through grid extension or construction of new mini-grids,Latin America and the Caribbean,Peru,Regional Government of Cajamarca,12113.0,Energy distribution,https://registry.verra.org/app/projectDetail/VCS/1454,v 1  12-2020
6431,VCS1502,"Reduction of GHG emissions in Propylene Oxide production at MTP HPPO Manufacturing Co., Ltd",VCS,No,Late to verify,Propylene Oxide Production,,VM0023 Reduction of GHG Emissions in Propylene Oxide Production,South-Eastern Asia,Thailand,MTP HPPO Manufacturing Co.,239356.0,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1502,v 1  12-2020
6592,VCS1750,PFC Emission Reductions at PT. Indonesia Asahan Aluminium (PT. INALUM) Kuala Tanjung - CER Conversion,VCS,No,Units Transferred from Approved GHG Program,Aluminum Smelters Emission Reductions,Aluminum Smelters Emission Reductions,AM0030 PFC emission reductions from anode effect mitigation at primary aluminium smelting facilities,South-Eastern Asia,Indonesia,Credits transferred from approved GHG program,78041.0,Metal production,https://registry.verra.org/app/projectDetail/VCS/1750,v 1  12-2020
6677,VCS1852,"Northern Fuel Pipeline Transportation Project, Thailand",VCS,No,Registered,Fuel Transport,Fuel Transport,AM0110 Modal shift in transportation of liquid fuels,South-Eastern Asia,Thailand,Multiple Proponents,29180.0,Transport,https://registry.verra.org/app/projectDetail/VCS/1852,v 1  12-2020
