project_id,project_name,voluntary_registry,voluntary_status,reductionorremoval,type_from_registry,region,country,state,project_site_location,project_developer,arborwa_project,arb_project_type,arb_harmonized_methodology,car_harmonized_methodology,methodologyorprotocol,harmonized_methodologyorprotocol,fully_harmonized_methodologyorprotocol,version_string,rule-based_type_mapping_full,rule-based_type_mapping_first,type,match?
ACR102,Air Bag Gas Substitution,ACR,Completed,,Industrial Gas Substitution,,US,OREGON,Beaverton,Nike,No,,,,Emission reductions through industrial gas substitution,Emission reductions through industrial gas substitution,Emission reductions through industrial gas substitution,,"[(62, 'SF6 Replacement')]",SF6 Replacement,SF6 Replacement,True
ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,Completed,,Industrial Process Emissions,,US,OKLAHOMA,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",Chesapeake Energy,No,,,,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,,"[(145, 'Pneumatic Retrofit')]",Pneumatic Retrofit,Pneumatic Retrofit,True
ACR380,CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project,ACR,Completed,,Agricultural Land Management,,US,IOWA,NCR,Bank of Montreal,No,,,,N2O Emission Reductions through Reduced Use of Fertilizer on Agricultural Crops,ACR methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,ACR methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,,"[(187, 'Nitrogen Management')]",Nitrogen Management,Nitrogen Management,True
ACR460,Compost Additions to Solano County Rangelands,ACR,Canceled,,Agricultural Land Management,,US,CALIFORNIA,"Solano County, CA","3Degrees Group, Inc.",No,,,,Emission Reductions from Compost Additions to Grazed Grasslands,Emission Reductions from Compost Additions to Grazed Grasslands,Emission Reductions from Compost Additions to Grazed Grasslands,,"[(189, 'Compost Addition to Rangeland')]",Compost Addition to Rangeland,Compost Addition to Rangeland,True
ACR111,Devon Mizer Pneumatic Retrofit,ACR,Completed,,Industrial Process Emissions,,US,OKLAHOMA,"Oklahoma, Texas, Wyoming",Devon Energy Group,No,,,,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,ACR Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,,"[(145, 'Pneumatic Retrofit')]",Pneumatic Retrofit,Pneumatic Retrofit,True
ACR117,Merit Energy Geo-Seq,ACR,Completed,,Carbon Capture & Storage (CCS),,US,WYOMING,LaBarge,Blue Source,No,,,,Emission Reductions from Enhanced Oil Recovery,Emission Reductions from Enhanced Oil Recovery,Emission Reductions from Enhanced Oil Recovery,,[],,Carbon Capture & Enhanced Oil Recovery,False
ACR118,Monell Geo-Seq,ACR,Completed,,Carbon Capture & Storage (CCS),,US,WYOMING,Sweetwater County,Anadarko,No,,,,Emission Reductions from Enhanced Oil Recovery,Emission Reductions from Enhanced Oil Recovery,Emission Reductions from Enhanced Oil Recovery,,[],,Carbon Capture & Enhanced Oil Recovery,False
ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,ACR,Completed,,Industrial Process Emissions,,US,TEXAS,"Orange, TX",DuPont,No,,,,Nitrous Oxide Abatement Protocol,ACM0019 N2O Abatement from Nitric Acid Production,ACM0019 N2O Abatement from Nitric Acid Production,,"[(51, 'N2O Destruction in Nitric Acid Production'), (55, 'N2O Destruction in Nitric Acid Production')]",N2O Destruction in Nitric Acid Production,N2O Destruction in Adipic Acid Production,False
ACR171,Nitrous Oxide Reduction in Corn,ACR,Completed,,Agricultural Land Management,,US,MICHIGAN,Reese,Delta Institute,No,,,,N2O Emission Reductions through Reduced Use of Fertilizer on Agricultural Crops,ACR methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,ACR methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,,"[(187, 'Nitrogen Management')]",Nitrogen Management,Nitrogen Management,True
ACR120,Petrosource Geo-Seq,ACR,Completed,,Carbon Capture & Storage (CCS),,US,TEXAS,Crocket County,Blue Source,No,,,,Emission Reductions from Enhanced Oil Recovery,Emission Reductions from Enhanced Oil Recovery,Emission Reductions from Enhanced Oil Recovery,,[],,Carbon Capture & Enhanced Oil Recovery,False
