project_id,project_name,methodology,region,voluntary_registry,project_type_from_the_registry,project_developer,arb_wa_project,project_type
ACR101,AFOVERT Energy,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,Sub-Saharan Africa,ACR,Fuel Switching,Katene Kadji,No,Bundled Energy Efficiency
ACR103,Inland Empire Anaerobic Ag Digester,"Monitoring, Reporting, and Verification Protocol for the Inland Empire Utilities Agency (IEUA) Anaerobic Digester Project",North America,ACR,Livestock Waste Management,Inland Empire Utilities Agency,No,Manure Methane Digester
ACR105,Boa Vista A/R,AR-ACM0001 Afforestation and reforestation of degraded land,Latin America and the Caribbean,ACR,Forest Carbon,F.I.T Timber Ltd,No,Afforestation/Reforestation
ACR106,Brickyard LFG to Energy,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Biogas Energy Solutions,No,Landfill Methane
ACR107,Camargo Fuel Substitution,ACM0011 Fuel switching from coal and/or petroleum fuels to natural gas in existing power plants for electricity generation,Latin America and the Caribbean,ACR,Fuel Switching,E+Co,No,Fuel Switching
ACR110,Chicago LFG to Energy,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Biogas Energy Solutions,No,Landfill Methane
ACR112,Dolton LFG to Energy,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Biogas Energy Solutions,No,Landfill Methane
ACR113,Greater New Bedford LFG,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Commonwealth Resource Management Corporation,No,Landfill Methane
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),ACR Afforestation and Reforestation of Degraded Lands,North America,ACR,Forest Carbon,"GreenTrees, LLC",No,Afforestation/Reforestation
ACR115,Lower Mississippi Valley Reforestation,AR-ACM0001 Afforestation and reforestation of degraded land,North America,ACR,Forest Carbon,"Entergy Services, Inc",No,Afforestation/Reforestation
ACR116,Societe VERAMA Madagascar Afforestation Project,AR-ACM0001 Afforestation and reforestation of degraded land,Sub-Saharan Africa,ACR,Forest Carbon,Societe VERAMA,No,Afforestation/Reforestation
ACR119,North Country LFG,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Commonwealth Resource Management Corporation,No,Landfill Methane
ACR122,Romeoville LFG to Energy,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Biogas Energy Solutions,No,Landfill Methane
ACR124,Schneider Anti-Idling,Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,Blue Source,No,Fleet Efficiency
ACR125,SEESA Solar Electrification,AMS-I.A. Electricity generation by the user,Latin America and the Caribbean,ACR,Renewable Energy,E+Co,No,Solar - Distributed
ACR127,Steuben County DPW LFG,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Environmental Capital LLC,No,Landfill Methane
ACR128,Streator LFG to Energy,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Biogas Energy Solutions,No,Landfill Methane
ACR129,Tecnosol Solar Electrification,AMS-I.A. Electricity generation by the user,Latin America and the Caribbean,ACR,Renewable Energy,E+Co,No,Solar - Distributed
ACR130,"Truck Stop Electrification, Alabama",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR132,"Truck Stop Electrification, Arkansas",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR133,"Truck Stop Electrification, California",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR134,"Truck Stop Electrification, Colorado",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR135,"Truck Stop Electrification, Florida",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR136,"Truck Stop Electrification, Georgia",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR137,"Truck Stop Electrification, Illinois",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR138,"Truck Stop Electrification, Indiana",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR140,"Truck Stop Electrification, Louisianna",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR141,"Truck Stop Electrification, Maryland",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR142,"Truck Stop Electrification, Michigan",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR144,"Truck Stop Electrification, Mississippi",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR145,"Truck Stop Electrification, Missouri",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR147,"Truck Stop Electrification, New Jersey",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR148,"Truck Stop Electrification, New Mexico",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR149,"Truck Stop Electrification, North Carolina",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR150,"Truck Stop Electrification, North Dakota",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR151,"Truck Stop Electrification, Ohio",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR152,"Truck Stop Electrification, Oklahoma",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR153,"Truck Stop Electrification, Oregon",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR155,"Truck Stop Electrification, South Carolina",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR156,"Truck Stop Electrification, Tennessee",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR157,"Truck Stop Electrification, Texas",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR158,"Truck Stop Electrification, Utah",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR159,"Truck Stop Electrification, West Virginia",Emissions Reductions though Anti-Idling Technologies,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR160,Tyson Wastewater Treatment,ACM0014 Treatment of wastewater,North America,ACR,Wastewater Treatment,Blue Source,No,Methane Recovery in Wastewater
ACR164,DANC,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,ACR,Landfill Gas Capture & Combustion,Environmental Capital LLC,No,Landfill Methane
ACR165,Malhas Menegotti Industria Textil Fuel Switch,AMS-I.C. Thermal energy production with or without electricity,Latin America and the Caribbean,ACR,Fuel Switching,Malhas Menegotti Industria Textil Ltda.,No,Fuel Switching
ACR168,Angeles National Forest Carbon Demonstration Project,ACR Afforestation and Reforestation of Degraded Lands,North America,ACR,Forest Carbon,National Forest Foundation,No,Afforestation/Reforestation
ACR170,ECC ODS Destruction 2012,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,Environmental Credit Corp.,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR171,Nitrous Oxide Reduction in Corn,ACR methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,North America,ACR,Agricultural Land Management,Delta Institute,No,Nitrogen Management
ACR175,DPC Domestic ODS Destruction Project #12,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Diversified Pure Chem, LLC",No,Ozone Depleting Substances Recovery & Destruction
ACR176,ECC ODS Destruction 2013,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,Environmental Credit Corp.,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR177,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),ACM0002 Grid-connected electricity generation from renewable sources,Latin America and the Caribbean,ACR,Renewable Energy,Statkraft Energias Renováveis S.A.,No,Hydropower
ACR179,Wabashco Clean Sweep I,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Wabashco, LLC",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR181,EOS ARB ODS 2013-6,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR182,Hanes Ranch Forest Carbon Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Hanes Ranch Inc.,ARB Compliance,Improved Forest Management
ACR183,D.P.C. Domestic ODS Destruction Project #12,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Diversified Pure Chem, LLC",ARB Early Action,Ozone Depleting Substances Recovery & Destruction
ACR184,EOS ACR 2013,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Early Action,Ozone Depleting Substances Recovery & Destruction
ACR186,Devil Fire Reforestation,CAR U.S. Forest Protocol,North America,ACR,Forest Carbon,"W. M. Beaty & Associates, Inc.",No,Afforestation/Reforestation
ACR187,Storrie Fire Reforestation,CAR U.S. Forest Protocol,North America,ACR,Forest Carbon,"W. M. Beaty & Associates, Inc.",No,Afforestation/Reforestation
ACR189,Miller Forest,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,ARB Compliance,Improved Forest Management
ACR190,Big Sky Dairy,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR191,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí",ACM0002 Grid-connected electricity generation from renewable sources,Latin America and the Caribbean,ACR,Renewable Energy,MS RENOVÁVEIS PARTICIPAÇÕES SOCIETÁRIAS S.A.,No,Wind
ACR192,Green Assets-Brookgreen Gardens Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,ARB Compliance,Improved Forest Management
ACR193,EOS ARB ODS 2013-7,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
