project_id,project_name,voluntary_registry,arborwaproject,voluntary_status,scope,type,reduction_or_removal,methodology_or_protocol,region,country,state,project_site_location,project_developer,total_credits_issued,total_credits_retired,total_credits_remaining,total_buffer_pool_deposits,reversals_covered_by_buffer_pool,reversals_not_covered_by_buffer,first_year_of_project_(vintage),year_unknown,project_owner,offset_project_operator,authorized_project_designee,verifier,estimated_annual_emission_reductions,pers,registry_or_arb_or_wa,arb_project_detail,arb_id,poa_idoraggregate_id,corsia_eligible,project_listed,project_registered,ccb_or_certifications,project_type_from_the_registry,registry_documents,project_website,notes_from_registry,notes_from_berkeley_carbon_trading_project,added_to_database_version_-_with_data_through,unnamed:_158,"1st_issuance_yr_(no_hard_code,_hide)",unnamed:_160
VCS806,YESIL HYDROELECTRIC POWER PLANT (HEPP),VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Western Asia,Türkiye, , ,Yeşilbas Elektrik Üretim AŞ,35652.0,35651.0,1.0,0.0,,,2012.0,0.0, , , , ,27069.0, ,VCS, , , , , ,2020-04-06 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/806, , , ,v 1  12-2020,,2012.0,1.0
GS7400,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,GOLD,No,Gold Standard Certified Project,Household & Community,Community Boreholes,Reduction,GS TPDDTEC v3.1,Sub-Saharan Africa,Rwanda, , ,Likano Project Development GmbH,22353.0,16203.0,6150.0,0.0,,,2019.0,0.0, , , , ,8768, ,GOLD, , ,5047.0,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS7400, , , ,v 1  12-2020,,2019.0,1.0
GS7139,50 MW (DCR) Nalgonda Solar PV Power Project by Parampujya Solar Energy at Telangana,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Southern Asia,India, , ,Infinite Environmental Solutions LLP,0.0,0.0,0.0,0.0,,,,0.0, , , , ,91716, ,GOLD, , , ,No, , , ,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS7139, , , ,v 1  12-2020,,0.0,1.0
GS2469,DENIZLI WPP,GOLD,No,Listed,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Western Asia,Türkiye, , ,KORDA ENERJI RETIM PAZARLAMA ITHALAT VE IHRACAT A.S.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,110421, ,GOLD, , , ,No, , , ,Wind,https://registry.goldstandard.org/projects?q=GS2469, , , ,v 1  12-2020,,0.0,1.0
VCS1534,Wind Based Power Generation by Rajasthan Gum Pvt ltd (EKIESL-VCS-March- 16-01),VCS,No,Under development,Renewable Energy,Wind,Reduction,ACM0002,Southern Asia,India, , ,Rajasthan Gum Private Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,67925, ,VCS, , , , , , , ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/1534, , , ,v 1  12-2020,,0.0,1.0
GS7537,Agrahara Mini Hydel Scheme – I & II,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,Southern Asia,India, , ,EKI Energy Services Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,4938, ,GOLD, , , ,No, , , ,"Small, Low - Impact Hydro",https://registry.goldstandard.org/projects?q=GS7537, , , ,v 1  12-2020,,0.0,1.0
GS3013,Chi Khe Hydropower Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,VietNam, , ,South Pole Carbon Asset Management Ltd.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,91939, ,GOLD, , , ,No, , , ,"Small, Low - Impact Hydro",https://registry.goldstandard.org/projects?q=GS3013, , , ,v 1  12-2020,,0.0,1.0
VCS928,Yunnan Mangli Hydropower Project,VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Eastern Asia,China, , ,Datang Mangli Hydropower Development Company Limit,586052.0,335333.0,250719.0,0.0,,,2010.0,0.0, , , , ,51887.0, ,VCS, , , , , ,2012-11-23 00:00:00, ,Energy industries (renewable/non-renewable sources),https://registry.verra.org/app/projectDetail/VCS/928, , , ,v 1  12-2020,,2010.0,1.0
GS1183,GS1183 Kenya Improved woodstoves POA ,GOLD,No,Listed,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,Kenya, , ,EcoAct,0.0,0.0,0.0,0.0,,,,0.0, , , , ,0, ,GOLD, , ,1183,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS1183, , , ,v 1  12-2020,,0.0,1.0
GS6252,Accelerating Clean Cooking Solutions in the Mekong Region – Vietnam VPA03,GOLD,No,Gold Standard Certified Design,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,South-Eastern Asia,VietNam, , ,Nexus-Carbon for Development,0.0,0.0,0.0,0.0,,,,0.0, , , , ,14496, ,GOLD, , ,4978.0,No, , , ,Energy Efficiency - Domestic,https://registry.goldstandard.org/projects?q=GS6252, , , ,v 1  12-2020,,0.0,1.0
