project_id,project_name,methodologyorprotocol,fully_harmonized_methodologyorprotocol,region,voluntary_registry,type_from_registry,project_developer,arborwa_project,type,rule-based_type_mapping_first
VCS4121,Qinghai Ulan and Delingha Improved Grassland Management Project,VM0026,VM0026 Methodology for Sustainable Grassland Management (SGM),Asia,VCS,Agriculture Forestry and Other Land Use,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,No,Sustainable Grassland Management,Sustainable Grassland Management
VCS4699,Baviaanskloof Carbon Project,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Africa,VCS,Agriculture Forestry and Other Land Use,Baviaanskloof Bewarea NPC,No,Afforestation/Reforestation,Afforestation/Reforestation
CAR766,Terra Verdigris #2,CAR U.S. Nitric Acid Production Protocol,CAR U.S. Nitric Acid Production Protocol, ,CAR,Nitric Acid N2O- Secondary Catalyst,"Terra Nitrogen, Limited Partnership",No,N2O Destruction in Nitric Acid Production,N2O Destruction in Nitric Acid Production
GS2420,Biomass Power Generation Project by Everbright Alternative Energy (Dangshan) Limited,ACM0018,ACM0018 Electricity generation from biomass in power-only plants, ,GOLD,"Biomass, or Liquid Biofuel - Electricity",China Everbright International Limited,No,Biomass,Biomass
ACR209,Finite Carbon - Weyerhaeuser Company IFM 1,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,Weyerhaeuser Company,No,Improved Forest Management, 
GS505,Honiton Energy Bailingmiao Phase Two Windfarm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Camco Voluntary Credits Ltd,No,Wind,Wind
ACR269,Green Assets - HMWCF-II Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,169,Compliance,Avoided Forest Conversion, 
VCS44,Jiratpattana Biogas Energy Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Thai Biogas Energy Company Ltd,No,Methane Recovery in Wastewater, 
GS12081,Implementation and operation of water kiosks in Burkina Faso - VPA 2,AMS-III.AV.,AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems, ,GOLD,Energy Efficiency - Domestic,atmosfair gGmbH,No,Clean Water,Clean Water
GS10794,Hoa Binh 1 Wind Power Project ,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Swiss Carbon Value Ltd.,No,Wind,Wind
VCS459,Hubei Jiugongshan Wind Farm CDM Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"Hubei Jiugongshan Wind Power Co.,Ltd.",No,Wind,Wind
VCS1040,Inner Mongolia Hangjin Yihewusu Wind Power Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"Inner Mongolia Xinjin Wind Power Co., Ltd.",No,Wind,Wind
VCS2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,AM0023,"AM0023 Leak detection and repair in gas production, processing, transmission, storage and distribution systems and in refinery facilities",Asia,VCS,"Fugitive emissions from fuels (solid, oil and gas)",Multiple Proponents,No,Leak Detection & Repair in Gas Systems,Leak Detection & Repair in Gas Systems
VCS4543,Leconi Agroforestry Project in Haut-Ogooue (LAPHO),AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Africa,VCS,Agriculture Forestry and Other Land Use,AERA Group,No,Afforestation/Reforestation,Afforestation/Reforestation
CAR424,Chautauqua County,CAR U.S. Landfill Protocol,CAR U.S. Landfill Protocol, ,CAR,Landfill Gas Capture/Combustion,Chautauqua County,No,Landfill Methane,Landfill Methane
VCS703,PANITAO Biomass Thermal Energy Project,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity,Latin America,VCS,Energy industries (renewable/non-renewable sources),Energias Industriales S.A.,No,Biomass, 
GS11351,Thuan Nhien Phong Wind Farm,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Gaia Environment (S) Pte Ltd,No,Wind,Wind
VCS704,BHL Biogas and Bagasse based cogeneration project activity at Kinauni,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity,Asia,VCS,Energy industries (renewable/non-renewable sources),Bajaj Hindusthan Ltd,No,Biomass, 
CAR1570,El Pirú,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,Toroto SAPI de CV,No,Improved Forest Management,Improved Forest Management
GS7605,Shifosi Solar Cooker Project,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity, ,GOLD,Solar Thermal - Heat,Sirreon Technology & Development (Beijing) Co.Ltd,No,Cookstoves,Solar Water Heaters
VCS642,West Star North Dairy,AMS-III.Y,AMS-III.Y. Methane avoidance through separation of solids from wastewater or manure treatment systems,North America,VCS,"Livestock, enteric fermentation, and manure management",West Star North Dairy,No,Solid Waste Separation,Solid Waste Separation
GS11292,Improved Cookstove and Safe Water Programme – Kenya – VPA 34,GS Methodology for emission reductions from safe drinking water supply,GS Methodology for emission reductions from safe drinking water supply, ,GOLD,Energy Efficiency - Domestic,Impact Carbon,No,Clean Water,Clean Water
GS11252,Renewable Power Generation on Mafia Island,AMS-I.F.,AMS-I.F. Renewable electricity generation for captive use and mini-grid, ,GOLD,Biogas - Electricity,atmosfair gGmbH,No,Biomass, 
ACR458,Bluesource - Haida Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,ACR,Forest Carbon,Blue Source,Compliance,Improved Forest Management, 
GS3107,GS1247 VPA 26 Improved Kitchen Regimes - Kasungu Boreholes Malawi,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,CO2balance UK ltd,No,Community Boreholes, 
CAR1737,ProCarbono: Ejido El Rincón,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,"CARBONOF MEXICO, S.A.P.I. DE C.V.",No,Improved Forest Management,Improved Forest Management
VCS3972,Adjusted Water Management in Rice Cultivation in South Anyi,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Jiangxi Green Energy Agricultural Development Co., Ltd",No,Rice Emission Reductions,Rice Emission Reductions
CAR1295,A-Gas 2018-3,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,CAR,Ozone Depleting Substances - U.S. - ARB Compliance,Reclamation Technologies Inc.,Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR208,RR ACR 2014,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,"RapRec Refrigerants, Inc.",Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
CAR1104,Forest Carbon Partners-Gabrych Ranch Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,CAR,Improved Forest Management - ARB Compliance,GM Gabrych Family L.P,Compliance,Improved Forest Management,Improved Forest Management
GS514,CECIC Zhangbei Dayangzhuang Wind Farm pre-CDM VER Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Goldchina Consultancy International Co. Ltd,No,Wind,Wind
